Tokens gerados pelo Lexer:
1 ('SEQ', 'SEQ')
2 ('LBRACE', '{')
3 ('IDENTIFIER', 'g')
4 ('ASSIGN', '=')
5 ('INPUT', 'INPUT')
6 ('LPAREN', '(')
7 ('STRING', 'digite aqui')
8 ('RPAREN', ')')
9 ('SEMI', ';')
10 ('IDENTIFIER', 'a')
11 ('ASSIGN', '=')
12 ('FIBONACCI', 'fibonacci')
13 ('LPAREN', '(')
14 ('INTEGER', '5')
15 ('RPAREN', ')')
16 ('SEMI', ';')
17 ('PRINT', 'print')
18 ('LPAREN', '(')
19 ('IDENTIFIER', 'a')
20 ('RPAREN', ')')
21 ('SEMI', ';')
22 ('PRINT', 'print')
23 ('LPAREN', '(')
24 ('IDENTIFIER', 'g')
25 ('RPAREN', ')')
26 ('SEMI', ';')
27 ('RBRACE', '}')
28 ('SEQ', 'SEQ')
29 ('LBRACE', '{')
30 ('PRINT', 'print')
31 ('LPAREN', '(')
32 ('STRING', 'Hello, World!')
33 ('RPAREN', ')')
34 ('SEMI', ';')
35 ('IDENTIFIER', 'a')
36 ('ASSIGN', '=')
37 ('INTEGER', '5')
38 ('OPERATOR', '+')
39 ('INTEGER', '3')
40 ('SEMI', ';')
41 ('IDENTIFIER', 'b')
42 ('ASSIGN', '=')
43 ('IDENTIFIER', 'a')
44 ('OPERATOR', '*')
45 ('INTEGER', '2')
46 ('SEMI', ';')
47 ('PRINT', 'print')
48 ('LPAREN', '(')
49 ('IDENTIFIER', 'b')
50 ('RPAREN', ')')
51 ('SEMI', ';')
52 ('SEND', 'send')
53 ('LPAREN', '(')
54 ('IDENTIFIER', 'a')
55 ('COMMA', ',')
56 ('IDENTIFIER', 'b')
57 ('RPAREN', ')')
58 ('SEMI', ';')
59 ('RECEIVE', 'receive')
60 ('LPAREN', '(')
61 ('IDENTIFIER', 'x')
62 ('COMMA', ',')
63 ('IDENTIFIER', 'y')
64 ('RPAREN', ')')
65 ('SEMI', ';')
66 ('RBRACE', '}')
67 ('SEQ', 'SEQ')
68 ('LBRACE', '{')
69 ('C_CHANNEL', 'C_CHANNEL')
70 ('IDENTIFIER', 'a')
71 ('IDENTIFIER', 'b')
72 ('IDENTIFIER', 'c')
73 ('SEMI', ';')
74 ('RBRACE', '}')
75 ('SEQ', 'SEQ')
76 ('LBRACE', '{')
77 ('PRINT', 'print')
78 ('LPAREN', '(')
79 ('STRING', 'Hello, World!')
80 ('RPAREN', ')')
81 ('SEMI', ';')
82 ('IDENTIFIER', 'a')
83 ('ASSIGN', '=')
84 ('INTEGER', '5')
85 ('OPERATOR', '+')
86 ('INTEGER', '3')
87 ('SEMI', ';')
88 ('IDENTIFIER', 'b')
89 ('ASSIGN', '=')
90 ('IDENTIFIER', 'a')
91 ('OPERATOR', '*')
92 ('INTEGER', '2')
93 ('SEMI', ';')
94 ('PRINT', 'print')
95 ('LPAREN', '(')
96 ('IDENTIFIER', 'b')
97 ('RPAREN', ')')
98 ('SEMI', ';')
99 ('SEND', 'send')
100 ('LPAREN', '(')
101 ('IDENTIFIER', 'a')
102 ('COMMA', ',')
103 ('IDENTIFIER', 'b')
104 ('RPAREN', ')')
105 ('SEMI', ';')
106 ('RECEIVE', 'receive')
107 ('LPAREN', '(')
108 ('IDENTIFIER', 'x')
109 ('COMMA', ',')
110 ('IDENTIFIER', 'y')
111 ('RPAREN', ')')
112 ('SEMI', ';')
113 ('RBRACE', '}')
114 ('SEQ', 'SEQ')
115 ('LBRACE', '{')
116 ('IF', 'if')
117 ('LPAREN', '(')
118 ('IDENTIFIER', 'x')
119 ('GREATER', '>')
120 ('INTEGER', '10')
121 ('RPAREN', ')')
122 ('LBRACE', '{')
123 ('PRINT', 'print')
124 ('LPAREN', '(')
125 ('STRING', 'x is greater than 10')
126 ('RPAREN', ')')
127 ('SEMI', ';')
128 ('RBRACE', '}')
129 ('ELSE', 'else')
130 ('LBRACE', '{')
131 ('PRINT', 'print')
132 ('LPAREN', '(')
133 ('STRING', 'x is less than or equal to 10')
134 ('RPAREN', ')')
135 ('SEMI', ';')
136 ('RBRACE', '}')
137 ('RBRACE', '}')
138 ('SEQ', 'SEQ')
139 ('LBRACE', '{')
140 ('WHILE', 'while')
141 ('LPAREN', '(')
142 ('IDENTIFIER', 'x')
143 ('LESS', '<')
144 ('INTEGER', '10')
145 ('RPAREN', ')')
146 ('LBRACE', '{')
147 ('IDENTIFIER', 'x')
148 ('ASSIGN', '=')
149 ('IDENTIFIER', 'x')
150 ('OPERATOR', '+')
151 ('INTEGER', '1')
152 ('SEMI', ';')
153 ('RBRACE', '}')
154 ('PRINT', 'print')
155 ('LPAREN', '(')
156 ('IDENTIFIER', 'x')
157 ('RPAREN', ')')
158 ('SEMI', ';')
159 ('RBRACE', '}')
160 ('SEQ', 'SEQ')
161 ('LBRACE', '{')
162 ('IF', 'if')
163 ('LPAREN', '(')
164 ('IDENTIFIER', 'x')
165 ('GREATER', '>')
166 ('INTEGER', '5')
167 ('AND', 'and')
168 ('IDENTIFIER', 'y')
169 ('LESS', '<')
170 ('INTEGER', '10')
171 ('RPAREN', ')')
172 ('LBRACE', '{')
173 ('PRINT', 'print')
174 ('LPAREN', '(')
175 ('STRING', 'Condition is true')
176 ('RPAREN', ')')
177 ('SEMI', ';')
178 ('RBRACE', '}')
179 ('ELSE', 'else')
180 ('LBRACE', '{')
181 ('PRINT', 'print')
182 ('LPAREN', '(')
183 ('STRING', 'Condition is false')
184 ('RPAREN', ')')
185 ('SEMI', ';')
186 ('RBRACE', '}')
187 ('RBRACE', '}')
188 ('SEQ', 'SEQ')
189 ('LBRACE', '{')
190 ('IDENTIFIER', 'g')
191 ('ASSIGN', '=')
192 ('INPUT', 'INPUT')
193 ('LPAREN', '(')
194 ('STRING', 'digite aqui')
195 ('RPAREN', ')')
196 ('SEMI', ';')
197 ('IDENTIFIER', 'a')
198 ('ASSIGN', '=')
199 ('FIBONACCI', 'fibonacci')
200 ('LPAREN', '(')
